time_elapsed,bvp,baseline_cog
32.6,82.63276666666664,baseline
32.7,138.18857515151515,baseline
32.8,85.51411168831169,baseline
32.9,199.45006,baseline
33.0,405.8626177489177,baseline
33.1,175.4085251515151,baseline
33.2,97.31462943722944,baseline
33.3,74.54039000000002,baseline
33.4,121.37475333333333,baseline
33.5,72.49641255411255,baseline
33.6,215.13110030303034,baseline
33.7,299.02965424242433,baseline
33.8,222.80155757575764,baseline
33.9,48.76545454545453,baseline
34.0,36.84258181818181,baseline
34.1,64.91696545454546,baseline
34.2,315.8221861471862,baseline
34.3,128.4246263636364,baseline
34.4,249.2456163636364,baseline
34.5,282.54569826839827,baseline
34.6,203.21848878787878,baseline
34.7,22.384807272727276,baseline
34.8,17.539079220779225,baseline
34.9,58.39554242424242,baseline
35.0,81.43780216450217,baseline
35.1,127.02109696969696,baseline
35.2,888.948715151515,baseline
35.3,252.4005257575758,baseline
35.4,101.86171272727275,baseline
35.5,42.52644415584415,baseline
35.6,63.04357272727271,baseline
35.7,73.12798848484849,baseline
35.8,119.91441385281388,baseline
35.9,229.69461121212117,baseline
36.0,485.4400203463203,baseline
36.1,118.14402848484848,baseline
36.2,405.87954285714295,baseline
36.3,82.57319272727275,baseline
36.4,54.9560418181818,baseline
36.5,98.48575714285715,baseline
36.6,94.32003606060606,baseline
36.7,300.26717242424246,baseline
36.8,134.96819350649355,baseline
36.9,253.31486272727273,baseline
37.0,193.2358874458874,baseline
37.1,188.7779157575758,baseline
37.2,150.14542294372296,baseline
37.3,213.3589457575758,baseline
37.4,226.11934999999997,baseline
37.5,191.31808831168834,baseline
37.6,38.702991818181836,baseline
37.7,363.0673109090909,baseline
37.8,59.2486393939394,baseline
37.9,137.1339515151515,baseline
38.0,79.69435064935064,baseline
38.1,162.39356878787873,baseline
38.2,693.0155999999998,baseline
38.3,195.12922121212117,baseline
38.4,282.2687609090908,baseline
38.5,108.96878658008659,baseline
38.6,81.92930969696968,baseline
38.7,100.45035181818184,baseline
38.8,131.46458138528138,baseline
38.9,115.68561969696967,baseline
39.0,651.8138800865801,baseline
39.1,84.60031696969696,baseline
39.2,411.9335848484848,baseline
39.3,230.92479363636366,baseline
39.4,33.85814121212121,baseline
39.5,43.56743116883117,baseline
39.6,101.71092787878788,baseline
39.7,297.71436030303033,baseline
39.8,160.4113826839827,baseline
39.9,145.36737121212124,baseline
40.0,173.1133575757576,baseline
40.1,275.8723515151515,baseline
40.2,219.85648961038962,baseline
40.3,255.54961151515153,baseline
40.4,342.564409090909,baseline
40.5,113.28060519480523,baseline
40.6,67.74023393939395,baseline
40.7,88.8346015151515,baseline
40.8,93.89749220779223,baseline
40.9,317.4756312121213,baseline
41.0,194.9366909090909,baseline
