time_elapsed,bvp,gamified_or_no
312.7,53.64166666666667,non_gamified
312.8,-25.147142857142857,non_gamified
312.9,-56.48,non_gamified
313.0,86.28714285714285,non_gamified
313.1,120.665,non_gamified
313.2,89.75999999999999,non_gamified
313.3,62.02,non_gamified
313.4,14.173333333333332,non_gamified
313.5,-47.2,non_gamified
313.6,-15.006666666666668,non_gamified
313.7,89.005,non_gamified
313.8,95.06142857142858,non_gamified
313.9,67.12,non_gamified
314.0,46.26857142857143,non_gamified
314.1,0.8349999999999996,non_gamified
314.2,-47.08714285714286,non_gamified
314.3,20.526666666666667,non_gamified
314.4,109.99166666666667,non_gamified
314.5,96.40714285714286,non_gamified
314.6,51.62166666666667,non_gamified
314.7,3.1933333333333334,non_gamified
314.8,-69.04714285714286,non_gamified
314.9,-114.2,non_gamified
315.0,-34.56285714285714,non_gamified
315.1,82.34166666666667,non_gamified
315.2,113.93571428571428,non_gamified
315.3,124.60666666666667,non_gamified
315.4,158.10833333333332,non_gamified
315.5,82.65285714285714,non_gamified
315.6,26.256666666666664,non_gamified
315.7,65.515,non_gamified
315.8,75.78,non_gamified
315.9,-74.27499999999999,non_gamified
316.0,-161.14714285714285,non_gamified
316.1,-152.505,non_gamified
316.2,-141.77142857142857,non_gamified
316.3,-118.96666666666665,non_gamified
316.4,-51.22833333333333,non_gamified
316.5,-25.437142857142856,non_gamified
316.6,-24.268333333333334,non_gamified
316.7,16.305,non_gamified
316.8,29.110000000000003,non_gamified
316.9,5.411666666666666,non_gamified
317.0,-81.10285714285715,non_gamified
317.1,-113.045,non_gamified
317.2,-193.68428571428572,non_gamified
317.3,-264.1016666666667,non_gamified
317.4,-160.19166666666666,non_gamified
317.5,83.75857142857141,non_gamified
317.6,62.64833333333333,non_gamified
317.7,104.39333333333333,non_gamified
317.8,134.1042857142857,non_gamified
317.9,109.915,non_gamified
318.0,73.99,non_gamified
318.1,4.815,non_gamified
318.2,-59.36142857142857,non_gamified
318.3,-60.51333333333333,non_gamified
318.4,-1.7749999999999997,non_gamified
318.5,2.501428571428572,non_gamified
318.6,-3.2933333333333334,non_gamified
318.7,1.43,non_gamified
318.8,-13.18142857142857,non_gamified
318.9,-40.06666666666667,non_gamified
319.0,-24.09,non_gamified
319.1,37.098333333333336,non_gamified
319.2,30.58857142857143,non_gamified
319.3,15.455,non_gamified
319.4,5.321666666666666,non_gamified
319.5,-17.552857142857142,non_gamified
319.6,-51.10166666666667,non_gamified
319.7,-8.326666666666666,non_gamified
319.8,38.544285714285714,non_gamified
319.9,21.56,non_gamified
320.0,3.2985714285714285,non_gamified
320.1,-11.290000000000001,non_gamified
320.2,-38.881428571428565,non_gamified
320.3,-18.476666666666667,non_gamified
320.4,39.675000000000004,non_gamified
320.5,31.27285714285714,non_gamified
320.6,8.106666666666667,non_gamified
320.7,-5.306666666666667,non_gamified
320.8,-34.37714285714286,non_gamified
320.9,-37.06166666666667,non_gamified
321.0,32.644285714285715,non_gamified
321.1,34.385,non_gamified
321.2,13.845714285714285,non_gamified
321.3,0.38500000000000006,non_gamified
321.4,-23.311666666666667,non_gamified
321.5,-45.18142857142857,non_gamified
321.6,22.421666666666667,non_gamified
321.7,39.555,non_gamified
321.8,16.818571428571428,non_gamified
321.9,4.02,non_gamified
322.0,-14.528571428571428,non_gamified
322.1,-47.475,non_gamified
322.2,0.33285714285714263,non_gamified
322.3,43.66833333333333,non_gamified
322.4,22.883333333333336,non_gamified
322.5,4.0,non_gamified
322.6,-12.496666666666668,non_gamified
322.7,-39.53666666666667,non_gamified
322.8,-31.47714285714286,non_gamified
322.9,35.91166666666667,non_gamified
323.0,28.32,non_gamified
323.1,8.063333333333333,non_gamified
323.2,-5.658571428571428,non_gamified
323.3,-35.891666666666666,non_gamified
323.4,-48.031666666666666,non_gamified
323.5,24.81714285714286,non_gamified
323.6,34.29833333333333,non_gamified
323.7,12.138333333333334,non_gamified
323.8,-4.0928571428571425,non_gamified
323.9,-28.093333333333334,non_gamified
324.0,-53.59571428571429,non_gamified
324.1,14.6,non_gamified
324.2,32.44714285714286,non_gamified
324.3,10.243333333333334,non_gamified
324.4,-0.011666666666666714,non_gamified
324.5,-17.712857142857143,non_gamified
324.6,-46.18666666666667,non_gamified
324.7,15.273333333333333,non_gamified
324.8,51.68142857142857,non_gamified
324.9,25.89,non_gamified
325.0,9.582857142857142,non_gamified
325.1,-4.913333333333333,non_gamified
325.2,-33.691428571428574,non_gamified
325.3,17.551666666666666,non_gamified
325.4,116.03666666666668,non_gamified
325.5,146.00714285714284,non_gamified
325.6,153.045,non_gamified
325.7,107.365,non_gamified
325.8,-14.921428571428573,non_gamified
325.9,-90.51166666666667,non_gamified
326.0,-50.74857142857143,non_gamified
326.1,-64.93833333333333,non_gamified
326.2,-12.74,non_gamified
326.3,90.19333333333333,non_gamified
326.4,125.69,non_gamified
326.5,148.99,non_gamified
326.6,27.633333333333336,non_gamified
326.7,-145.18833333333333,non_gamified
326.8,-198.18571428571428,non_gamified
326.9,-172.39499999999998,non_gamified
327.0,-173.51857142857145,non_gamified
327.1,-168.04833333333332,non_gamified
327.2,-114.98714285714286,non_gamified
327.3,-203.41,non_gamified
327.4,-154.18166666666667,non_gamified
327.5,55.487142857142864,non_gamified
327.6,158.52833333333334,non_gamified
327.7,65.12166666666667,non_gamified
327.8,6.518571428571429,non_gamified
327.9,73.38333333333334,non_gamified
328.0,87.84,non_gamified
328.1,64.395,non_gamified
328.2,46.044285714285714,non_gamified
328.3,10.178333333333333,non_gamified
328.4,-36.005,non_gamified
328.5,-60.19428571428572,non_gamified
328.6,21.471666666666664,non_gamified
328.7,46.745000000000005,non_gamified
328.8,31.025714285714287,non_gamified
328.9,24.293333333333333,non_gamified
329.0,-6.505714285714286,non_gamified
329.1,-52.053333333333335,non_gamified
329.2,-54.63285714285714,non_gamified
329.3,37.18833333333333,non_gamified
329.4,61.57833333333334,non_gamified
329.5,42.99857142857143,non_gamified
329.6,26.97,non_gamified
329.7,-5.1433333333333335,non_gamified
329.8,-50.48285714285714,non_gamified
329.9,-68.775,non_gamified
330.0,29.34857142857143,non_gamified
330.1,63.93,non_gamified
330.2,50.95285714285715,non_gamified
330.3,37.18666666666667,non_gamified
330.4,9.083333333333334,non_gamified
330.5,-36.378571428571426,non_gamified
330.6,-83.01166666666667,non_gamified
330.7,-16.508333333333333,non_gamified
330.8,55.80571428571428,non_gamified
330.9,57.345,non_gamified
331.0,45.614285714285714,non_gamified
331.1,31.91,non_gamified
331.2,-4.154285714285714,non_gamified
331.3,-46.178333333333335,non_gamified
331.4,-82.91666666666667,non_gamified
331.5,-7.208571428571429,non_gamified
331.6,53.300000000000004,non_gamified
331.7,51.16,non_gamified
331.8,41.76428571428572,non_gamified
331.9,29.983333333333334,non_gamified
332.0,2.111428571428571,non_gamified
332.1,-31.135,non_gamified
332.2,-64.14285714285714,non_gamified
332.3,-11.011666666666668,non_gamified
332.4,35.276666666666664,non_gamified
332.5,72.27714285714286,non_gamified
332.6,158.56,non_gamified
332.7,68.28333333333333,non_gamified
332.8,1.2314285714285715,non_gamified
332.9,-17.025,non_gamified
333.0,-14.22,non_gamified
333.1,-33.08,non_gamified
333.2,-50.222857142857144,non_gamified
333.3,-83.33999999999999,non_gamified
333.4,-97.67666666666668,non_gamified
333.5,78.32428571428571,non_gamified
333.6,47.31166666666667,non_gamified
333.7,-2.148333333333333,non_gamified
333.8,-5.835714285714286,non_gamified
333.9,11.156666666666666,non_gamified
334.0,118.07142857142857,non_gamified
334.1,288.48499999999996,non_gamified
334.2,374.25714285714287,non_gamified
334.3,183.01999999999998,non_gamified
334.4,-5.160000000000001,non_gamified
334.5,-195.59714285714287,non_gamified
334.6,-381.73,non_gamified
334.7,-560.9083333333333,non_gamified
334.8,-641.86,non_gamified
334.9,-274.68666666666667,non_gamified
335.0,44.11857142857143,non_gamified
335.1,160.69333333333333,non_gamified
335.2,200.25714285714284,non_gamified
335.3,171.82666666666668,non_gamified
335.4,123.63666666666666,non_gamified
335.5,69.30285714285715,non_gamified
335.6,35.986666666666665,non_gamified
335.7,48.225,non_gamified
335.8,27.004285714285714,non_gamified
335.9,-9.5,non_gamified
336.0,-27.76571428571429,non_gamified
336.1,-14.398333333333333,non_gamified
336.2,-10.651428571428571,non_gamified
336.3,35.38166666666667,non_gamified
336.4,71.65166666666666,non_gamified
336.5,48.01714285714286,non_gamified
336.6,18.615,non_gamified
336.7,-9.696666666666667,non_gamified
336.8,-65.83714285714287,non_gamified
336.9,-45.91,non_gamified
337.0,104.45428571428572,non_gamified
337.1,182.13666666666666,non_gamified
337.2,60.50142857142857,non_gamified
337.3,-129.30666666666664,non_gamified
337.4,-214.46333333333334,non_gamified
337.5,-233.04714285714286,non_gamified
337.6,-141.47,non_gamified
337.7,15.219999999999999,non_gamified
337.8,60.75285714285714,non_gamified
337.9,50.403333333333336,non_gamified
338.0,35.76285714285714,non_gamified
338.1,3.3166666666666664,non_gamified
338.2,-48.607142857142854,non_gamified
338.3,4.495,non_gamified
338.4,42.75666666666667,non_gamified
338.5,36.18142857142857,non_gamified
338.6,37.468333333333334,non_gamified
338.7,17.68,non_gamified
338.8,-28.18142857142857,non_gamified
338.9,-55.56,non_gamified
339.0,30.65285714285714,non_gamified
339.1,78.30333333333333,non_gamified
339.2,66.72285714285714,non_gamified
339.3,48.596666666666664,non_gamified
339.4,-6.985,non_gamified
339.5,-79.38571428571429,non_gamified
339.6,-108.50833333333333,non_gamified
339.7,-2.0283333333333338,non_gamified
339.8,63.09428571428572,non_gamified
339.9,56.446666666666665,non_gamified
340.0,46.895714285714284,non_gamified
340.1,11.128333333333332,non_gamified
340.2,-43.894285714285715,non_gamified
340.3,-81.69833333333334,non_gamified
340.4,3.8166666666666664,non_gamified
340.5,36.17285714285715,non_gamified
340.6,-10.375,non_gamified
340.7,-67.30666666666667,non_gamified
340.8,-99.15428571428572,non_gamified
340.9,-105.31833333333333,non_gamified
341.0,-94.63,non_gamified
341.1,35.67333333333333,non_gamified
341.2,139.18285714285713,non_gamified
341.3,214.23666666666668,non_gamified
341.4,185.39333333333335,non_gamified
341.5,69.05285714285715,non_gamified
341.6,-64.41166666666668,non_gamified
341.7,-187.55499999999998,non_gamified
341.8,46.67142857142857,non_gamified
341.9,338.265,non_gamified
342.0,313.21857142857147,non_gamified
342.1,236.615,non_gamified
342.2,229.97714285714287,non_gamified
342.3,40.72,non_gamified
342.4,-145.355,non_gamified
342.5,-66.64428571428572,non_gamified
342.6,-54.651666666666664,non_gamified
342.7,-164.90833333333333,non_gamified
342.8,-329.4042857142857,non_gamified
342.9,-430.2266666666667,non_gamified
343.0,-295.01714285714286,non_gamified
343.1,77.43166666666667,non_gamified
343.2,57.25857142857142,non_gamified
343.3,-301.91333333333336,non_gamified
343.4,-213.38333333333333,non_gamified
343.5,-259.5157142857143,non_gamified
343.6,-291.9266666666667,non_gamified
343.7,-203.39499999999998,non_gamified
343.8,-58.79714285714285,non_gamified
343.9,52.52333333333333,non_gamified
344.0,164.9085714285714,non_gamified
344.1,256.0933333333333,non_gamified
344.2,209.17142857142858,non_gamified
344.3,131.18,non_gamified
344.4,67.68333333333334,non_gamified
344.5,165.06,non_gamified
344.6,183.1483333333333,non_gamified
344.7,124.75,non_gamified
